epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.306,1.7946,3.17581,1.8037,0.59619,0.23379,0.24628,0.09683,1.86993,3.16711,2.09635,0.00032963,0.00032963,0.00032963
2,592.372,1.67847,2.43665,1.68287,0.13296,0.2786,0.12085,0.04732,2.15464,4.37188,2.62356,0.000649836,0.000649836,0.000649836
3,825.962,1.69994,2.32647,1.70307,0.48406,0.29316,0.2764,0.11099,1.95447,3.05343,2.27918,0.000956843,0.000956843,0.000956843
4,1141.31,1.65766,2.17945,1.67009,0.59639,0.31986,0.31817,0.13792,1.88472,2.65413,2.08825,0.0009406,0.0009406,0.0009406
5,1562.23,1.62091,2.04997,1.63714,0.46708,0.50759,0.43399,0.19673,1.75985,2.3892,1.94488,0.0009208,0.0009208,0.0009208
6,2019.16,1.6131,1.98157,1.6382,0.43163,0.65138,0.53596,0.22728,1.73858,2.14467,1.9651,0.000901,0.000901,0.000901
7,2481.26,1.59186,1.9311,1.62949,0.44207,0.53759,0.4985,0.22533,1.77477,2.19896,2.00029,0.0008812,0.0008812,0.0008812
8,2853.71,1.55558,1.85564,1.58174,0.55007,0.47451,0.4932,0.21796,1.73452,2.0076,1.87889,0.0008614,0.0008614,0.0008614
9,3009.82,1.57536,1.82238,1.59162,0.52523,0.51423,0.52351,0.23217,1.79845,1.98123,1.98385,0.0008416,0.0008416,0.0008416
10,3162.22,1.55861,1.80545,1.5907,0.49482,0.63399,0.59922,0.26606,1.70799,1.88071,1.96257,0.0008218,0.0008218,0.0008218
11,3765.97,1.51552,1.72625,1.55592,0.37448,0.59657,0.40821,0.16468,1.96791,2.23152,2.03814,0.000802,0.000802,0.000802
12,3919.61,1.50329,1.71853,1.55963,0.40653,0.61338,0.5235,0.22984,1.78439,1.89156,1.98478,0.0007822,0.0007822,0.0007822
13,4076.94,1.50103,1.69486,1.54699,0.51098,0.60847,0.5713,0.28446,1.63501,1.90938,1.87753,0.0007624,0.0007624,0.0007624
14,4230.64,1.50452,1.6985,1.55681,0.48972,0.64901,0.59572,0.29632,1.66958,1.74271,1.85163,0.0007426,0.0007426,0.0007426
15,4391.86,1.47159,1.66384,1.53435,0.60873,0.53157,0.5046,0.23246,1.7187,1.82574,1.86778,0.0007228,0.0007228,0.0007228
16,4542.01,1.4792,1.62831,1.52828,0.47196,0.64798,0.63005,0.30217,1.64958,1.69085,1.82875,0.000703,0.000703,0.000703
17,4698.97,1.46219,1.6157,1.5203,0.60717,0.6358,0.6863,0.35552,1.55962,1.60565,1.76467,0.0006832,0.0006832,0.0006832
18,4857.99,1.48451,1.61532,1.53294,0.47821,0.64824,0.5605,0.25579,1.69448,1.80728,1.83082,0.0006634,0.0006634,0.0006634
19,5011.42,1.46518,1.59901,1.52041,0.67069,0.55184,0.61055,0.28201,1.71708,1.71634,1.83483,0.0006436,0.0006436,0.0006436
20,5165.71,1.43454,1.58671,1.50479,0.54473,0.66574,0.66104,0.31728,1.60428,1.64898,1.83545,0.0006238,0.0006238,0.0006238
21,5316.01,1.44276,1.57169,1.51193,0.73517,0.40942,0.53562,0.24652,1.71635,1.98285,1.8515,0.000604,0.000604,0.000604
22,5501.4,1.42575,1.52195,1.48346,0.45354,0.72776,0.6724,0.3303,1.59933,1.66095,1.77186,0.0005842,0.0005842,0.0005842
23,5653.25,1.41366,1.52035,1.50161,0.58384,0.6444,0.67544,0.34995,1.56373,1.53173,1.74687,0.0005644,0.0005644,0.0005644
24,5808.8,1.3997,1.50602,1.48382,0.5091,0.66896,0.68346,0.35284,1.52875,1.54363,1.74166,0.0005446,0.0005446,0.0005446
25,5963.71,1.42393,1.55307,1.49809,0.72282,0.56273,0.67541,0.34147,1.56854,1.54552,1.77219,0.0005248,0.0005248,0.0005248
26,6119.25,1.40819,1.5147,1.48761,0.49009,0.67976,0.6404,0.31975,1.56988,1.63552,1.76463,0.000505,0.000505,0.000505
27,6276.75,1.37134,1.49189,1.46965,0.56757,0.64494,0.66749,0.3419,1.56957,1.49643,1.75631,0.0004852,0.0004852,0.0004852
